Product_Name,Capacity,Category,Star_Ratings,Price,Discount,Rating
Whirlpool,270 L,Triple Door,4 Star,28490.0,25.0,4.3
LG,343 L,Double Door,3 Star,41990.0,23.0,4.3
Whirlpool,235 L,Triple Door,4 Star,25990.0,29.0,4.5
LG,242 L,Double Door,3 Star,69990.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,21990.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,25990.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,61990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,25749.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,32990.0,40.0,4.3
Voltas,472 L,Side by Side,3 Star,49990.0,30.0,4.2
Whirlpool,235 L,Double Door,2 Star,23777.0,26.0,4.1
LG,272 L,Double Door,3 Star,29990.0,25.0,4.1
Whirlpool,235 L,Double Door,3 Star,25490.0,21.0,4.2
Godrej,272 L,Double Door,3 Star,27490.0,29.0,4.4
LG,264 L,Double Door,2 Star,28990.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,26990.0,29.0,4.3
Godrej,472 L,Double Door,2 Star,50990.0,42.0,4.3
Godrej,436 L,Double Door,2 Star,34990.0,24.0,4.4
Haier,268 L,Double Door,2 Star,42490.0,32.0,4.3
LG,398 L,Double Door,3 Star,24990.0,37.0,4.1
Voltas,563 L,Side by Side,3 Star,26490.0,28.0,4.4
LG,240 L,Double Door,3 Star,45990.0,31.0,4.3
Haier,325 L,Double Door,3 Star,53990.0,26.0,4.3
Whirlpool,300 L,Triple Door,4 Star,32990.0,25.0,4.1
Whirlpool,270 L,Triple Door,4 Star,32990.0,25.0,4.3
LG,343 L,Double Door,3 Star,59990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,25190.0,23.0,4.3
LG,242 L,Double Door,3 Star,28990.0,42.0,4.4
Haier,596 L,Side by Side,3 Star,23990.0,24.0,4.5
Whirlpool,236 L,Single Door,5 Star,35490.0,29.0,4.3
Haier,602 L,Side by Side,3 Star,39990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,61990.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,24990.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,27270.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,26190.0,29.0,4.3
LG,272 L,Double Door,3 Star,43990.0,30.0,4.3
Whirlpool,235 L,Double Door,3 Star,29999.0,26.0,4.2
Godrej,272 L,Double Door,3 Star,63990.0,21.0,4.1
LG,264 L,Double Door,2 Star,24790.0,28.0,4.2
CANDY,328 L,Double Door,3 Star,24490.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,24990.0,25.0,4.3
Godrej,436 L,Double Door,2 Star,28050.0,31.0,4.1
Haier,268 L,Double Door,2 Star,24490.0,37.0,4.1
LG,398 L,Double Door,3 Star,26590.0,32.0,4.3
Voltas,563 L,Side by Side,3 Star,27490.0,28.0,4.4
LG,240 L,Double Door,3 Star,44990.0,24.0,4.3
Haier,325 L,Double Door,3 Star,74990.0,42.0,4.4
Whirlpool,300 L,Triple Door,4 Star,59990.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,93990.0,25.0,4.3
LG,343 L,Double Door,3 Star,22490.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,32990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,34990.0,29.0,4.4
Whirlpool,236 L,Single Door,5 Star,23490.0,42.0,4.5
LG,242 L,Double Door,3 Star,26590.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,27980.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,47990.0,19.0,4.3
Whirlpool,308 L,Double Door,3 Star,49990.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,54490.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,26950.0,25.0,4.3
LG,272 L,Double Door,3 Star,29990.0,29.0,4.2
Whirlpool,235 L,Double Door,3 Star,29990.0,30.0,4.1
Godrej,272 L,Double Door,3 Star,32050.0,26.0,4.2
CANDY,328 L,Double Door,3 Star,33290.0,21.0,4.4
LG,264 L,Double Door,2 Star,24550.0,29.0,4.3
Godrej,472 L,Double Door,2 Star,25990.0,28.0,4.1
Haier,325 L,Double Door,3 Star,24890.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,36890.0,37.0,4.3
Haier,268 L,Double Door,2 Star,50890.0,32.0,4.4
LG,240 L,Double Door,3 Star,72990.0,24.0,4.3
LG,398 L,Double Door,3 Star,25990.0,42.0,4.4
Voltas,563 L,Side by Side,3 Star,24990.0,28.0,4.3
Whirlpool,300 L,Triple Door,4 Star,30740.0,31.0,4.3
Whirlpool,270 L,Triple Door,4 Star,24990.0,25.0,4.3
Whirlpool,235 L,Triple Door,4 Star,22990.0,23.0,4.5
LG,343 L,Double Door,3 Star,27450.0,29.0,4.3
LG,242 L,Double Door,3 Star,30740.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,30990.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,24000.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,26490.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,26790.0,27.0,4.3
Voltas,472 L,Side by Side,3 Star,39990.0,40.0,4.1
LG,272 L,Double Door,3 Star,27990.0,30.0,4.3
Whirlpool,235 L,Double Door,3 Star,30990.0,26.0,4.3
Whirlpool,308 L,Double Door,3 Star,24990.0,25.0,4.2
Godrej,272 L,Double Door,3 Star,37990.0,21.0,4.1
LG,264 L,Double Door,2 Star,31690.0,29.0,4.2
CANDY,328 L,Double Door,3 Star,23799.0,28.0,4.4
Whirlpool,235 L,Double Door,2 Star,32990.0,29.0,4.3
Voltas,563 L,Side by Side,3 Star,29999.0,42.0,4.1
LG,398 L,Double Door,3 Star,38990.0,24.0,4.1
Haier,268 L,Double Door,2 Star,32990.0,32.0,4.3
Godrej,436 L,Double Door,2 Star,25240.0,37.0,4.4
LG,240 L,Double Door,3 Star,24990.0,28.0,4.3
Haier,325 L,Double Door,3 Star,23959.0,31.0,4.4
Whirlpool,300 L,Triple Door,4 Star,33819.0,26.0,4.3
Godrej,472 L,Double Door,2 Star,23999.0,25.0,4.3
Whirlpool,270 L,Triple Door,4 Star,27990.0,25.0,4.3
LG,343 L,Double Door,3 Star,37490.0,29.0,4.3
Whirlpool,235 L,Triple Door,4 Star,28480.0,23.0,4.5
LG,242 L,Double Door,3 Star,26517.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,60990.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,26999.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,33990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,49990.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,28836.0,25.0,4.3
Voltas,472 L,Side by Side,3 Star,54990.0,40.0,4.2
Whirlpool,235 L,Double Door,2 Star,22570.0,29.0,4.1
LG,272 L,Double Door,3 Star,24990.0,30.0,4.1
Whirlpool,235 L,Double Door,3 Star,37990.0,26.0,4.2
Godrej,272 L,Double Door,3 Star,135999.0,21.0,4.4
LG,264 L,Double Door,2 Star,84990.0,29.0,4.3
CANDY,328 L,Double Door,3 Star,37000.0,28.0,4.3
Godrej,472 L,Double Door,2 Star,26290.0,25.0,4.3
Godrej,436 L,Double Door,2 Star,33990.0,37.0,4.4
Haier,268 L,Double Door,2 Star,27599.0,32.0,4.3
LG,398 L,Double Door,3 Star,24990.0,24.0,4.1
Voltas,563 L,Side by Side,3 Star,49999.0,42.0,4.4
LG,240 L,Double Door,3 Star,27999.0,28.0,4.3
Haier,325 L,Double Door,3 Star,24399.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,25990.0,26.0,4.1
Whirlpool,270 L,Triple Door,4 Star,50990.0,25.0,4.3
LG,343 L,Double Door,3 Star,50890.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,49999.0,23.0,4.3
LG,242 L,Double Door,3 Star,49990.0,42.0,4.5
Haier,596 L,Side by Side,3 Star,49990.0,24.0,4.3
Whirlpool,236 L,Single Door,5 Star,49990.0,29.0,4.4
Haier,602 L,Side by Side,3 Star,49990.0,43.0,4.5
Voltas,472 L,Side by Side,3 Star,49990.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,49990.0,29.0,4.3
LG,272 L,Double Door,3 Star,49990.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,49990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,49990.0,21.0,4.2
LG,264 L,Double Door,2 Star,49950.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,48990.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,48490.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,47990.0,31.0,4.3
Haier,268 L,Double Door,2 Star,47970.0,37.0,4.1
LG,398 L,Double Door,3 Star,47890.0,32.0,4.3
Voltas,563 L,Side by Side,3 Star,47319.0,28.0,4.4
LG,240 L,Double Door,3 Star,46990.0,24.0,4.4
Haier,325 L,Double Door,3 Star,46225.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,45999.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,45999.0,25.0,4.3
Whirlpool,235 L,Triple Door,4 Star,45999.0,29.0,4.5
LG,343 L,Double Door,3 Star,45999.0,23.0,4.3
LG,242 L,Double Door,3 Star,45990.0,29.0,4.4
Haier,596 L,Side by Side,3 Star,45990.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,45990.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,45990.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,45680.0,19.0,4.3
Voltas,472 L,Side by Side,3 Star,45590.0,25.0,4.1
LG,272 L,Double Door,3 Star,45590.0,40.0,4.3
Whirlpool,235 L,Double Door,3 Star,45490.0,25.0,4.3
Whirlpool,308 L,Double Door,3 Star,45490.0,29.0,4.2
Godrej,272 L,Double Door,3 Star,45490.0,30.0,4.1
LG,264 L,Double Door,2 Star,45090.0,26.0,4.2
CANDY,328 L,Double Door,3 Star,44990.0,21.0,4.4
Whirlpool,235 L,Double Door,2 Star,44886.0,29.0,4.3
Voltas,563 L,Side by Side,3 Star,43999.0,28.0,4.1
LG,398 L,Double Door,3 Star,43990.0,25.0,4.1
Haier,268 L,Double Door,2 Star,43990.0,37.0,4.3
Godrej,436 L,Double Door,2 Star,43990.0,32.0,4.4
LG,240 L,Double Door,3 Star,43990.0,24.0,4.3
Haier,325 L,Double Door,3 Star,43990.0,42.0,4.4
Whirlpool,300 L,Triple Door,4 Star,43890.0,28.0,4.3
Godrej,472 L,Double Door,2 Star,43800.0,31.0,4.3
Whirlpool,270 L,Triple Door,4 Star,43600.0,25.0,4.3
LG,343 L,Double Door,3 Star,42990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,42490.0,23.0,4.3
LG,242 L,Double Door,3 Star,42390.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,42170.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,41990.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,41870.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,41390.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,41199.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,40999.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,40888.0,29.0,4.3
LG,272 L,Double Door,3 Star,40790.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,40590.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,40590.0,21.0,4.2
LG,264 L,Double Door,2 Star,40590.0,29.0,4.3
CANDY,328 L,Double Door,3 Star,40000.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,39990.0,25.0,4.1
Godrej,436 L,Double Door,2 Star,39990.0,37.0,4.3
Haier,268 L,Double Door,2 Star,39990.0,32.0,4.1
LG,398 L,Double Door,3 Star,39989.0,24.0,4.3
Voltas,563 L,Side by Side,3 Star,39744.0,42.0,4.4
LG,240 L,Double Door,3 Star,39559.0,28.0,4.4
Haier,325 L,Double Door,3 Star,39290.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,38990.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,38990.0,25.0,4.3
LG,343 L,Double Door,3 Star,38790.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,38490.0,23.0,4.3
LG,242 L,Double Door,3 Star,38290.0,42.0,4.4
Haier,596 L,Side by Side,3 Star,38290.0,24.0,4.5
Haier,602 L,Side by Side,3 Star,37999.0,29.0,4.3
Whirlpool,240 L,Triple Door,4 Star,39105.0,43.0,4.5
Whirlpool,308 L,Double Door,3 Star,37990.0,27.0,4.3
Voltas,472 L,Side by Side,3 Star,37990.0,25.0,4.1
Whirlpool,235 L,Double Door,2 Star,37800.0,40.0,4.3
LG,272 L,Double Door,3 Star,37650.0,29.0,4.3
Whirlpool,235 L,Double Door,3 Star,37517.0,30.0,4.2
Godrej,272 L,Double Door,3 Star,37490.0,26.0,4.1
LG,264 L,Double Door,2 Star,37490.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,37490.0,28.0,4.4
Godrej,472 L,Double Door,2 Star,37290.0,29.0,4.3
Godrej,436 L,Double Door,2 Star,37000.0,25.0,4.1
Haier,268 L,Double Door,2 Star,36990.0,31.0,4.1
LG,398 L,Double Door,3 Star,36990.0,37.0,4.3
Voltas,563 L,Side by Side,3 Star,36890.0,32.0,4.4
LG,240 L,Double Door,3 Star,36590.0,28.0,4.3
Haier,325 L,Double Door,3 Star,36390.0,24.0,4.4
Whirlpool,300 L,Triple Door,4 Star,36240.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,35999.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,35999.0,25.0,4.3
LG,343 L,Double Door,3 Star,35990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,35990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,35790.0,42.0,4.5
Whirlpool,236 L,Single Door,5 Star,35590.0,24.0,4.3
LG,242 L,Double Door,3 Star,35490.0,29.0,4.4
Haier,602 L,Side by Side,3 Star,35390.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,35337.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,35190.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,35000.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,34999.0,29.0,4.3
LG,272 L,Double Door,3 Star,34990.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,34990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,34990.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,34990.0,28.0,4.3
LG,264 L,Double Door,2 Star,34900.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,34999.0,25.0,4.1
Haier,325 L,Double Door,3 Star,34590.0,31.0,4.3
Godrej,436 L,Double Door,2 Star,34489.0,37.0,4.1
Haier,268 L,Double Door,2 Star,34062.0,32.0,4.3
LG,240 L,Double Door,3 Star,39910.0,28.0,4.4
LG,398 L,Double Door,3 Star,38999.0,24.0,4.4
Voltas,563 L,Side by Side,3 Star,34489.0,42.0,4.3
Whirlpool,300 L,Triple Door,4 Star,34062.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,33999.0,25.0,4.3
LG,343 L,Double Door,3 Star,33990.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,33990.0,23.0,4.3
Haier,596 L,Side by Side,3 Star,33990.0,29.0,4.4
Whirlpool,236 L,Single Door,5 Star,33819.0,42.0,4.5
LG,242 L,Double Door,3 Star,33590.0,24.0,4.3
Haier,602 L,Side by Side,3 Star,33500.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,33490.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,33397.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,33290.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,33290.0,29.0,4.3
LG,272 L,Double Door,3 Star,33257.0,30.0,4.2
Whirlpool,235 L,Double Door,3 Star,32990.0,26.0,4.1
Godrej,272 L,Double Door,3 Star,32990.0,21.0,4.2
CANDY,328 L,Double Door,3 Star,32990.0,29.0,4.4
LG,264 L,Double Door,2 Star,32990.0,28.0,4.3
Godrej,472 L,Double Door,2 Star,32990.0,25.0,4.1
Haier,325 L,Double Door,3 Star,32990.0,37.0,4.1
Godrej,436 L,Double Door,2 Star,32990.0,32.0,4.3
Haier,268 L,Double Door,2 Star,32818.0,24.0,4.4
LG,240 L,Double Door,3 Star,32710.0,42.0,4.3
LG,398 L,Double Door,3 Star,32590.0,28.0,4.4
Voltas,563 L,Side by Side,3 Star,32190.0,31.0,4.3
Whirlpool,300 L,Triple Door,4 Star,32100.0,26.0,4.3
Whirlpool,270 L,Triple Door,4 Star,32050.0,25.0,4.3
LG,343 L,Double Door,3 Star,31999.0,23.0,4.5
Whirlpool,235 L,Triple Door,4 Star,31990.0,29.0,4.3
LG,242 L,Double Door,3 Star,31990.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,31790.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,31790.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,31749.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,31733.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,31690.0,40.0,4.1
Voltas,472 L,Side by Side,3 Star,31690.0,30.0,4.3
Whirlpool,235 L,Double Door,2 Star,31600.0,26.0,4.3
LG,272 L,Double Door,3 Star,31490.0,25.0,4.2
Whirlpool,235 L,Double Door,3 Star,31090.0,21.0,4.1
Godrej,272 L,Double Door,3 Star,30999.0,29.0,4.2
LG,264 L,Double Door,2 Star,30999.0,28.0,4.3
CANDY,328 L,Double Door,3 Star,30999.0,29.0,4.4
Godrej,472 L,Double Door,2 Star,30999.0,42.0,4.1
Godrej,436 L,Double Door,2 Star,30990.0,24.0,4.3
Haier,268 L,Double Door,2 Star,30990.0,32.0,4.1
LG,398 L,Double Door,3 Star,30990.0,37.0,4.3
Voltas,563 L,Side by Side,3 Star,30990.0,28.0,4.4
LG,240 L,Double Door,3 Star,30790.0,31.0,4.4
Haier,325 L,Double Door,3 Star,30740.0,26.0,4.3
Whirlpool,300 L,Triple Door,4 Star,30590.0,25.0,4.3
Whirlpool,270 L,Triple Door,4 Star,30521.0,25.0,4.3
LG,343 L,Double Door,3 Star,30519.0,29.0,4.5
Whirlpool,235 L,Triple Door,4 Star,30390.0,23.0,4.3
LG,242 L,Double Door,3 Star,30390.0,29.0,4.5
Haier,596 L,Side by Side,3 Star,30100.0,42.0,4.3
Whirlpool,236 L,Single Door,5 Star,30100.0,24.0,4.4
Haier,602 L,Side by Side,3 Star,29999.0,43.0,4.5
Whirlpool,240 L,Triple Door,4 Star,29999.0,27.0,4.3
Whirlpool,308 L,Double Door,3 Star,29999.0,25.0,4.1
Voltas,472 L,Side by Side,3 Star,29999.0,40.0,4.3
Whirlpool,235 L,Double Door,2 Star,29999.0,29.0,4.3
LG,272 L,Double Door,3 Star,29999.0,30.0,4.2
